column_name,description
CICID,immigrant id (immigration parquet files)
YEAR,i94yr (immigration parquet files)
MONTH,i94mon (immigration parquet files)
COUNTRY_ORIGIN,immigrant's origin country (countries.csv)
PORT_NAME,name of the arriving port (ports.csv)
ARRIVAL_DATE,date of the arrival (immigration parquet files)
ARRIVAL_MODE,how immigrant has arrived (air/land/water) (immigration parquet files)
DESTINATION_SATE_CODE,destination state code (us_states.csv)
DESTINATION_SATE,destination state name (us_states.csv)
DEPARTURE_DATE,date of the departure (immigration parquet files)
AGE,immigrant's age (immigration parquet files)
VISA_CATEGORY,immigrant's visa category (business/student/pleasure) of black people (immigration parquet files)
MATCH_FLAG,match flag (immigration parquet files)
BIRTH_YAER,immigrant's year of birth (immigration parquet files)
GENDER,immigrant's gender (us-cities-demographics.csv)
INS_NUMBER,immigrant's ins number people (immigration parquet files)
AIRLINE,name of the airline (immigration parquet files)
ADMISSION_NUMBER,admission number (immigration parquet files)
FLIGHT_NUMBER,flight number (immigration parquet files)
VISA_TYPE,visa type (immigration parquet files)
